start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,749,668,404,0,0,0,0,616,1056,511,100,377,521,654,212,184,143,158,356
2020-04-06,2020-04-19,14,0,608,695,397,0,0,0,0,493,637,346,71,363,512,608,283,149,152,194,333
2020-04-20,2020-05-03,28,0,497,610,398,0,0,0,0,263,486,271,65,241,328,427,177,85,123,167,296
2020-05-04,2020-05-17,42,619,557,639,425,415,788,645,57,328,518,260,104,225,588,618,415,38,168,179,287
2020-05-18,2020-05-31,56,592,560,602,381,450,762,627,72,331,768,449,174,233,818,778,519,54,175,205,281
2020-06-01,2020-06-14,70,570,494,626,363,542,679,590,83,322,650,366,176,263,412,465,182,53,176,195,312
2020-06-15,2020-06-28,84,468,465,604,367,643,593,478,78,443,966,579,389,242,659,628,384,100,238,217,338
2020-06-29,2020-07-12,98,430,472,542,350,539,507,402,30,675,915,609,763,256,665,606,478,91,261,216,516
2020-07-13,2020-07-26,112,10,365,470,243,11,7,12,2,230,490,292,197,256,976,830,516,37,111,107,182
2020-07-27,2020-08-09,126,591,528,598,367,709,849,659,140,466,1362,855,405,337,835,715,362,99,251,239,305
2020-08-10,2020-08-23,140,628,1367,1168,692,1685,1244,672,204,1319,3774,2204,1086,965,2432,2158,1160,215,570,518,714
2020-08-24,2020-09-06,154,678,1483,1419,810,1413,1106,721,179,1604,3389,1921,893,682,2227,1970,1112,413,962,787,914
2020-09-07,2020-09-20,168,876,1285,1426,960,12137,2375,1449,1207,2612,3728,2202,2104,4401,2556,2293,1031,317,842,692,1135
2020-09-21,2020-10-04,182,684,1107,1089,609,6818,1535,927,118,1986,2555,1505,646,1992,1648,1446,823,116,505,428,534
2020-10-05,2020-10-18,196,587,937,1040,605,3407,1180,739,127,1129,1590,842,417,536,1021,1047,512,196,472,453,526
2020-10-19,2020-11-01,210,603,879,1015,721,1387,915,656,92,1190,1787,1040,810,678,2960,2432,778,125,469,441,656
2020-11-02,2020-11-15,224,669,1123,1200,815,4888,1220,891,84,1939,1717,992,358,1335,1571,1447,847,142,566,549,791
2020-11-16,2020-11-29,238,791,984,1095,715,7197,1639,1066,94,2398,1126,637,243,688,1074,1111,658,94,307,331,512
2020-11-30,2020-12-13,252,708,1055,892,557,4840,1448,819,128,1271,1944,1128,883,506,1472,1274,603,102,498,449,502
2020-12-14,2020-12-27,266,753,1286,1378,786,883,993,743,116,804,1588,997,444,643,1563,1397,709,167,567,502,657
2020-12-28,2021-01-10,280,714,1095,1055,643,759,894,591,57,639,1389,772,507,348,1206,1125,540,63,263,264,452
2021-01-11,2021-01-24,294,567,1098,796,467,521,738,442,35,695,1148,561,224,363,931,854,624,36,175,211,350
2021-01-25,2021-02-07,308,592,1068,877,431,728,788,476,30,503,1088,491,140,274,1796,1415,982,57,275,226,317
