start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
23/03/2020,05/04/2020,0,0,1208,1067,649,0,0,0,0,920,1607,769,164,640,796,1030,341,275,221,270,539
06/04/2020,19/04/2020,14,0,962,1099,629,0,0,0,0,784,1048,555,142,578,771,943,404,210,260,286,531
20/04/2020,03/05/2020,28,0,817,934,619,0,0,0,0,427,778,469,113,360,561,714,291,141,198,239,471
04/05/2020,17/05/2020,42,976,872,1014,639,658,1207,1012,81,459,843,440,148,381,971,1011,549,60,218,248,434
18/05/2020,31/05/2020,56,929,889,925,589,708,1133,982,118,651,1308,819,426,340,1011,1026,633,117,333,358,442
01/06/2020,14/06/2020,70,878,779,983,594,829,1066,909,124,625,1249,774,314,531,896,912,433,107,279,305,481
15/06/2020,28/06/2020,84,726,749,919,591,1226,900,744,103,741,1597,1011,640,389,886,866,511,170,427,359,587
29/06/2020,12/07/2020,98,711,715,911,561,887,812,701,76,796,1227,735,800,493,1034,997,886,93,301,286,445
13/07/2020,26/07/2020,112,21,586,724,389,21,27,30,2,369,887,485,498,317,1073,912,559,100,262,219,300
27/07/2020,09/08/2020,126,936,874,910,528,1056,1305,1051,217,810,2357,1508,966,449,1304,1129,547,130,389,328,452
10/08/2020,23/08/2020,140,950,2235,1798,1108,2488,2001,1102,416,2734,6447,3887,1967,1255,3390,3039,1546,344,949,900,1125
24/08/2020,06/09/2020,154,1049,2343,2244,1284,1997,1795,1183,308,4192,5346,2954,1758,1268,3981,3559,2002,483,1217,1024,1433
07/09/2020,20/09/2020,168,1400,2034,2270,1489,19708,3790,2454,1343,4852,5302,3224,2514,5546,4031,3502,1720,380,1465,1321,1771
21/09/2020,04/10/2020,182,1091,1731,1754,979,10486,2397,1517,188,3164,4252,2628,1393,2997,2712,2461,1215,213,731,658,840
05/10/2020,18/10/2020,196,979,1521,1589,981,5638,1938,1234,206,1729,2554,1414,766,1792,1855,1836,1028,197,739,614,1026
19/10/2020,01/11/2020,210,976,1411,1622,1165,2594,1480,1031,139,2172,3014,1823,1074,614,3421,2886,1009,374,743,677,1042
02/11/2020,15/11/2020,224,1039,1785,1882,1286,8855,1959,1391,200,2762,2990,1728,684,1649,2507,2410,1287,165,681,675,1148
