start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,782,674,422,0,0,0,0,635,1048,508,116,365,495,658,225,165,143,169,371
2020-04-06,2020-04-19,14,0,576,709,410,0,0,0,0,466,612,346,61,355,505,640,276,137,152,190,340
2020-04-20,2020-05-03,28,0,504,604,404,0,0,0,0,262,472,299,58,233,380,455,178,89,127,172,305
2020-05-04,2020-05-17,42,625,549,630,419,416,749,645,49,294,460,229,64,214,701,699,425,33,150,177,298
2020-05-18,2020-05-31,56,571,547,642,354,450,687,597,78,363,720,464,230,290,678,729,493,58,152,171,236
2020-06-01,2020-06-14,70,550,519,622,338,513,657,593,70,382,634,388,188,274,511,539,248,55,138,170,282
2020-06-15,2020-06-28,84,453,485,573,389,757,543,455,43,477,939,559,345,219,511,502,349,133,325,298,427
2020-06-29,2020-07-12,98,466,470,564,371,615,546,461,53,664,802,494,686,214,515,506,264,103,299,272,557
2020-07-13,2020-07-26,112,13,363,447,248,16,22,19,0,219,473,274,190,260,846,712,389,42,130,114,184
2020-07-27,2020-08-09,126,583,521,608,334,591,794,633,127,467,1421,893,396,364,895,756,338,82,223,212,281
2020-08-10,2020-08-23,140,606,1419,1126,671,1393,1330,746,315,1355,3766,2211,1005,681,1868,1749,994,231,543,521,661
2020-08-24,2020-09-06,154,666,1500,1388,818,1343,1107,726,171,3455,3519,1988,1309,811,2113,1879,1105,351,866,682,910
2020-09-07,2020-09-20,168,888,1300,1414,930,11195,2387,1505,217,3583,3626,2210,2021,2321,2308,2125,1129,237,757,601,934
2020-09-21,2020-10-04,182,683,1090,1105,615,6226,1504,925,121,1895,2357,1415,757,2587,1665,1545,821,133,496,414,589
2020-10-05,2020-10-18,196,627,959,984,605,3420,1290,802,148,1088,1612,878,565,1089,1044,1047,480,158,524,464,679
2020-10-19,2020-11-01,210,608,894,1036,731,1437,862,639,80,1308,1796,1057,799,477,1275,1180,613,145,494,446,635
2020-11-02,2020-11-15,224,647,1107,1207,800,5933,1199,878,86,2039,1808,1029,410,1254,1311,1248,606,117,456,453,704
2020-11-16,2020-11-29,238,797,1007,1093,717,7395,1564,1091,75,2324,1401,826,449,841,1013,1041,552,169,353,370,539
2020-11-30,2020-12-13,252,727,1059,897,552,5632,1505,855,126,1017,1708,950,785,336,1068,953,369,119,495,414,482
2020-12-14,2020-12-27,266,752,1318,1363,829,958,1015,716,125,994,1976,1212,614,800,1891,1656,794,158,583,490,677
2020-12-28,2021-01-10,280,688,1088,1073,646,742,846,589,43,783,1500,871,1532,340,1292,1242,653,57,263,273,423
2021-01-11,2021-01-24,294,555,1080,814,447,576,707,428,29,703,1231,622,384,309,917,851,548,44,182,194,324
2021-01-25,2021-02-07,308,578,1029,865,449,687,769,468,34,519,1054,471,137,283,647,694,319,60,255,197,345
2021-02-08,2021-02-21,322,586,1088,876,466,659,731,466,47,725,1357,718,559,303,871,887,567,248,358,297,552
2021-02-22,2021-03-07,336,539,906,916,553,708,658,473,56,501,1001,527,245,268,776,716,412,46,175,157,385
2021-03-08,2021-03-21,350,601,1038,989,555,3980,1131,697,74,1259,1279,676,494,1010,1148,1063,534,68,295,277,355
2021-03-22,2021-04-04,364,586,844,926,602,2765,933,646,68,1548,1188,625,323,662,1103,1048,517,112,286,239,451
2021-04-05,2021-04-18,378,557,879,832,495,1441,924,574,268,590,1064,578,347,698,1535,1301,598,96,255,251,393
2021-04-19,2021-05-02,392,586,1122,919,532,4539,1290,806,105,1143,1663,931,603,953,1270,1210,933,118,265,291,343
2021-05-03,2021-05-16,406,679,1053,1178,633,5822,1575,978,196,1067,1706,980,441,953,1472,1389,758,85,418,441,447
2021-05-17,2021-05-30,420,718,1058,1172,703,6051,1702,1081,168,1397,1921,1203,429,709,1504,1337,815,515,579,466,504
2021-05-31,2021-06-13,434,794,1463,1428,674,4391,1570,970,213,1523,2305,1331,752,1028,2087,1709,1198,238,536,465,488
2021-06-14,2021-06-27,448,813,833,1269,748,5473,1764,1175,188,505,1252,697,407,1862,2459,2083,976,317,801,631,1625
